Full Name,Abr,Fantasy Data Abbr,2020-2021,2019-2020,2018-2019
Atlanta Hawks,Atl,ATL,112.3,114.4,113.1
Boston Celtics,Bos,BOS,111.4,106.5,107
Brooklyn Nets,Bkn,BKN,113.3,109.2,109
Charlotte Hornets,Cha,CHA,111.3,112.8,112
Chicago Bulls,Chi,CHI,112.3,108.9,112.8
Cleveland Cavaliers,Cle,CLE,112.1,114.8,116.8
Dallas Mavericks,Dal,DAL,111.7,111.2,110.1
Denver Nuggets,Den,DEN,111.7,110.4,108.1
Detroit Pistons,Det,DET,112.4,112.3,108.7
Golden State Warriors,GSW,GS,110.4,113,108.6
Houston Rockets,Hou,HOU,112.6,109.8,110.1
Indiana Pacers,Ind,IND,111.4,107.5,106
LA Clippers,LAC,LAC,110.9,106.9,110.4
Los Angeles Lakers,LAL,LAL,105.6,106.1,108.9
Memphis Grizzlies,Mem,MEM,110,109.7,108
Miami Heat,Mia,MIA,109.3,109.3,107.1
Milwaukee Bucks,Mil,MIL,109.9,102.5,104.9
Minnesota Timberwolves,Min,MIN,114.7,111.6,112.2
New Orleans Pelicans,Nor,NO,115,111.8,112
New York Knicks,NYK,NY,107.4,112.4,112.9
Oklahoma City Thunder,OKC,OKC,112.4,108.1,106.5
Orlando Magic,Orl,ORL,112.7,109.2,107.6
Philadelphia 76ers,Phi,PHI,106.4,108.4,109
Phoenix Suns,Pho,PHO,108.6,110.8,114.2
Portland Trail Blazers,Por,POR,116,114.3,109.5
Sacramento Kings,Sac,SAC,117.8,111.4,110.8
San Antonio Spurs,SAS,SA,111,112.6,110.6
Toronto Raptors,Tor,TOR,111.8,104.7,106.8
Utah Jazz,Uta,UTA,107.6,109.3,105.3
Washington Wizards,Was,WAS,113.3,114.7,112.9
